Gender,USCitizen,English,POE,BooksReadSummer,ReadProgHS,PartReadProgHS,OwnBookSummer,PercentReadSummer,WhyNotRead,OtherReasonsNot,FamilyRead,SummerSurvey,QuizScore,FirstGen,PercentReadSummerFollowup,PercentReadSemester,Reread,CWSRead,CWSWrite,Think,Challenge,EnjoyBook,EventAdd,CourseEffect,FollowupSurvey,Book,Year,PercentReadSemesterM,ReadSummer,ReadFollowup,ReadSemester,Read,AttendEvent,ConversationsCount,ConversationsWith,BookLength,BookDifficulty,KnowSummerRead,WhichOrientation
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,No,2,Individual,4,3,Orientation,June
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,Yes,5,"Individual, Group",4,3,Orientation,June
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,Yes,85,95,Yes,Some of the chapters in the book.,Formal Essay for CWS,5,5,5,5,No,Yes,Handmaid's Tale,2017,95,Yes,Yes,Yes,Yes,Yes,,Group,4,3,Orientation,June
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,Yes,30,70,No,All of the book,Response/Reflection Paper,2,3,5,,No,Yes,Handmaid's Tale,2017,70,Yes,No,No,Yes,No,2,Individual,4,3,Orientation,June
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,No,100,0,No,The book was not assigned.,None,4,3,5,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,0,,4,3,Orientation,June
Male,Yes,Yes,Humanities,2,Yes,Yes,Yes,100,,,No,Yes,1,No,100,100,Yes,All of the book,Formal Essay for CWS,2,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,,,4,3,Orientation,June
Male,Yes,Yes,Exploratory,1,Yes,Yes,Yes,100,,,No,Yes,0.75,Yes,1,1,No,All of the book,None,5,5,5,,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,No,10,"Individual, Group",4,3,Orientation,June
Male,Yes,Yes,Exploratory,0,No,No,Yes,5,"Too Busy, Not Reader, Boring, Topic Dislike",,No,Yes,,No,70,10,No,Some of the chapters in the book.,None,3,4,4,,No,Yes,Handmaid's Tale,2017,80,No,No,No,No,No,0,,5,2,Orientation,June
Male,Yes,Yes,Natural Sciences,4,No,Yes,Yes,100,,,No,Yes,0.75,Yes,80,0,No,The book was not assigned.,None,3,3,2,,No,Yes,Handmaid's Tale,2017,80,Yes,No,No,Yes,No,1,Individual,3,4,Orientation,June
Male,Yes,Yes,Natural Sciences,1,No,,Yes,10,Not Reader,,No,Yes,0.25,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,3,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,Yes,No,No,Yes,No,2,Individual,4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,No,100,100,Yes,All of the book,Formal Essay for CWS,3,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,3,"Individual, Group",4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,No,1,0,No,The book was not assigned.,None,2,4,3,,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,No,2,Individual,4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,No,1,0,No,The book was not assigned.,None,4,4,4,5,No,Yes,Handmaid's Tale,2017,1,Yes,No,No,Yes,Yes,5,"Individual, Group",4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,Yes,85,95,Yes,Some of the chapters in the book.,Formal Essay for CWS,5,5,5,5,No,Yes,Handmaid's Tale,2017,95,Yes,Yes,Yes,Yes,Yes,,Group,4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,Yes,30,70,No,All of the book,Response/Reflection Paper,2,3,5,,No,Yes,Handmaid's Tale,2017,70,Yes,No,No,Yes,No,2,Individual,4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,No,100,0,No,The book was not assigned.,None,4,3,5,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,0,,4,2,Orientation,June
Male,Yes,Yes,Natural Sciences,2,No,No,Yes,100,,,No,Yes,0.25,No,100,100,Yes,All of the book,Formal Essay for CWS,2,3,3,,No,Yes,Handmaid's Tale,2017,100,Yes,Yes,Yes,Yes,No,,,4,2,Orientation,June
Female,Yes,Yes,Exploratory,1,Yes,Yes,No,0,,I didnt know we had to read it,No,Yes,0.25,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,,,Classmate,June
Male,Yes,Yes,,1,Yes,Yes,No,90,Too Busy,,No,Yes,0.75,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,3,3,Orientation,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,Too Busy,I didn't quite understand it,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,2,4,Orientation,June
Male,Yes,Yes,Humanities,1,Yes,No,Yes,0,,"I forgot about reading it, also heard we were going to read in class.",No,Yes,0.25,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,3,Orientation,June
Male,Yes,Yes,Social Sciences,0,Yes,Yes,Yes,20,No Point,,Yes,Yes,0.25,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,2,Parent,June
Male,Yes,Yes,Humanities,1,Yes,Yes,Yes,2,"Too Busy, Boring",,No,Yes,0,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,5,4,Orientation,June
Male,Yes,Yes,Natural Sciences,0,Yes,No,Yes,15,Not Reader,,No,Yes,,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,,,Orientation,June
Female,Yes,Yes,Exploratory,3,No,No,Yes,,,Heard the material wasn't used,No,Yes,0.25,Yes,,10,Yes,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,10,,,No,,No,0,,3,3,Orientation,June
Female,Yes,Yes,Natural Sciences,10,Yes,Yes,Yes,100,,,Yes,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,Yes,,,,,,,3,3,Orientation,June
Male,Yes,Yes,Exploratory,1,Yes,Yes,Yes,50,Boring,Started it at the start of the summer and then forgot about it,Yes,Yes,0.75,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,4,Classmate,June
Male,Yes,Yes,Humanities,0,No,No,Yes,0,Too Busy,,No,Yes,0.5,,,,,,,,,,,,,Handmaid's Tale,2017,,No,,,,,,,3,3,Email,June
Female,Yes,Yes,Natural Sciences,0,Yes,Yes,No,0,Too Busy,,No,Yes,,No,0,0,No,The book was not assigned.,None,,,,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,0,,,,Orientation,June
Female,Yes,Yes,Natural Sciences,8,Yes,Yes,Yes,1,,,Yes,Yes,0.5,Yes,1,0,No,The book was not assigned.,None,3,2,4,,No,Yes,Handmaid's Tale,2017,1,No,No,No,No,No,2,Individual,3,4,Orientation,June
Female,Yes,Yes,Natural Sciences,1,No,No,Yes,10,"Too Busy, Topic Dislike",,No,Yes,0.25,No,5,5,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,5,No,No,No,No,No,0,,2,3,Orientation,June
Female,Yes,Yes,Natural Sciences,2,No,No,Yes,40,Too Busy,,Yes,Yes,0.5,No,40,40,No,The book was not assigned.,None,2,2,4,,No,Yes,Handmaid's Tale,2017,40,No,No,No,No,No,0,,3,2,Professor,June
Female,Yes,Yes,Natural Sciences,1,Yes,No,Yes,25,"Too Busy, Boring",,No,Yes,,No,25,30,Yes,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,30,No,No,No,No,No,0,,3,2,Facebook,June
Male,Yes,Yes,Natural Sciences,1,No,No,Yes,30,"Too Busy, No Point",,No,Yes,0,No,0,0,No,The book was not assigned.,None,3,3,3,,No,Yes,Handmaid's Tale,2017,0,No,No,No,No,No,2,Individual,4,4,Classmate,June
